20.9,0.49944,0.0316156,0.865771
21,0.498416,0.0551667,0.865181
21.1,0.496838,0.0786361,0.864273
21.2,0.49471,0.101989,0.863053
21.3,0.492039,0.125193,0.861524
21.4,0.488831,0.148213,0.859696
21.5,0.485093,0.171018,0.857577
21.6,0.480836,0.193576,0.855176
21.7,0.476069,0.215857,0.852505
21.8,0.470804,0.237832,0.849576
21.9,0.465054,0.259474,0.846403
22,0.458832,0.280757,0.843
22.1,0.452152,0.301655,0.839383
22.2,0.445028,0.322145,0.835567
22.3,0.437478,0.342207,0.83157
22.4,0.429515,0.361819,0.827408
22.5,0.421157,0.380964,0.8231
22.6,0.412419,0.399625,0.818664
22.7,0.40332,0.417787,0.814117
22.8,0.393876,0.435436,0.80948
22.9,0.384103,0.452561,0.804769
23,0.374019,0.46915,0.800005
23.1,0.363639,0.485196,0.795205
23.2,0.352982,0.50069,0.790388
23.3,0.342062,0.515627,0.785572
23.4,0.330895,0.530001,0.780774
23.5,0.319498,0.543808,0.776012
23.6,0.307885,0.557045,0.771302
23.7,0.29607,0.569712,0.766662
23.8,0.284068,0.581806,0.762107
23.9,0.271891,0.593327,0.757653
24,0.259554,0.604278,0.753313
24.1,0.247068,0.614657,0.749102
24.2,0.234445,0.624468,0.745034
24.3,0.221696,0.633712,0.741121
24.4,0.208832,0.642392,0.737375
24.5,0.195863,0.650511,0.733807
24.6,0.182799,0.658072,0.730428
24.7,0.169649,0.665078,0.727248
24.8,0.156421,0.671532,0.724277
24.9,0.143123,0.677438,0.721521
25,0.129763,0.682799,0.71899
25.1,0.116349,0.687617,0.716691
25.2,0.102886,0.691896,0.714629
25.3,0.0893817,0.695639,0.71281
25.4,0.0758419,0.698847,0.711239
25.5,0.0622726,0.701524,0.70992
25.6,0.0486794,0.70367,0.708857
25.7,0.0350677,0.705288,0.708053
25.8,0.0214428,0.706379,0.707509
25.9,0.00780983,0.706943,0.707227
26,-0.00582599,0.706981,0.707208
26.1,-0.0194596,0.706493,0.707452
26.2,-0.033086,0.705478,0.707959
26.3,-0.0466999,0.703937,0.708726
26.4,-0.0602961,0.701867,0.709752
26.5,-0.0738692,0.699267,0.711034
26.6,-0.0874135,0.696135,0.712569
26.7,-0.100923,0.69247,0.714353
26.8,-0.114392,0.688269,0.71638
26.9,-0.127814,0.683529,0.718646
27,-0.141182,0.678247,0.721144
27.1,-0.154489,0.67242,0.723868
27.2,-0.167728,0.666045,0.726809
27.3,-0.18089,0.659119,0.72996
27.4,-0.193967,0.651638,0.73331
27.5,-0.20695,0.6436,0.736852
27.6,-0.219829,0.635001,0.740573
27.7,-0.232595,0.625839,0.744463
27.8,-0.245236,0.61611,0.74851
27.9,-0.257743,0.605813,0.752701
28,-0.270102,0.594945,0.757024
28.1,-0.282302,0.583506,0.761463
28.2,-0.294331,0.571495,0.766005
28.3,-0.306173,0.558912,0.770634
28.4,-0.317816,0.545756,0.775334
28.5,-0.329245,0.532032,0.78009
28.6,-0.340446,0.51774,0.784884
28.7,-0.351402,0.502884,0.789699
28.8,-0.362098,0.487471,0.794517
28.9,-0.372518,0.471504,0.799321
29,-0.382646,0.454993,0.804092
29.1,-0.392464,0.437945,0.808812
29.2,-0.401957,0.420371,0.813461
29.3,-0.411106,0.402283,0.818022
29.4,-0.419896,0.383694,0.822476
